epi_week ,date       ,country ,state ,city             ,ibgeID  ,newDeaths ,deaths ,newCases ,totalCases ,deaths_per_100k_inhabitants ,totalCases_per_100k_inhabitants ,deaths_by_totalCases ,_source ,last_info_date
15       ,2020-04-09 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,1        ,1          ,0.00000                     ,0.81629                         ,0.00000              ,SES     ,2021-04-12
18       ,2020-04-29 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,2        ,3          ,0.00000                     ,2.44888                         ,0.00000              ,SES     ,2021-04-12
19       ,2020-05-03 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,1        ,4          ,0.00000                     ,3.26517                         ,0.00000              ,SES     ,2021-04-12
19       ,2020-05-06 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,1        ,5          ,0.00000                     ,4.08147                         ,0.00000              ,SES     ,2021-04-12
19       ,2020-05-07 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,-1       ,4          ,0.00000                     ,3.26517                         ,0.00000              ,SES     ,2021-04-12
19       ,2020-05-09 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,1        ,5          ,0.00000                     ,4.08147                         ,0.00000              ,SES     ,2021-04-12
20       ,2020-05-12 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,2        ,7          ,0.00000                     ,5.71405                         ,0.00000              ,SES     ,2021-04-12
20       ,2020-05-13 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,2        ,9          ,0.00000                     ,7.34664                         ,0.00000              ,SES     ,2021-04-12
20       ,2020-05-14 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,0      ,1        ,10         ,0.00000                     ,8.16293                         ,0.00000              ,SES     ,2021-04-12
20       ,2020-05-15 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,1      ,2        ,12         ,0.81629                     ,9.79552                         ,0.08333              ,SES     ,2021-04-12
20       ,2020-05-16 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,3        ,15         ,0.81629                     ,12.24440                        ,0.06667              ,SES     ,2021-04-12
21       ,2020-05-19 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,4        ,19         ,0.81629                     ,15.50957                        ,0.05263              ,SES     ,2021-04-12
21       ,2020-05-22 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,1        ,20         ,0.81629                     ,16.32586                        ,0.05000              ,SES     ,2021-04-12
21       ,2020-05-23 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,1        ,21         ,0.81629                     ,17.14216                        ,0.04762              ,SES     ,2021-04-12
22       ,2020-05-25 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,1        ,22         ,0.81629                     ,17.95845                        ,0.04545              ,SES     ,2021-04-12
22       ,2020-05-28 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,1      ,3        ,25         ,0.81629                     ,20.40733                        ,0.04000              ,SES     ,2021-04-12
22       ,2020-05-29 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,2      ,2        ,27         ,1.63259                     ,22.03992                        ,0.07407              ,SES     ,2021-04-12
22       ,2020-05-30 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,1        ,28         ,1.63259                     ,22.85621                        ,0.07143              ,SES     ,2021-04-12
23       ,2020-06-01 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,1        ,29         ,1.63259                     ,23.67250                        ,0.06897              ,SES     ,2021-04-12
23       ,2020-06-02 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,2        ,31         ,1.63259                     ,25.30509                        ,0.06452              ,SES     ,2021-04-12
23       ,2020-06-03 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,1        ,32         ,1.63259                     ,26.12138                        ,0.06250              ,SES     ,2021-04-12
23       ,2020-06-05 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,2        ,34         ,1.63259                     ,27.75397                        ,0.05882              ,SES     ,2021-04-12
24       ,2020-06-07 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,1        ,35         ,1.63259                     ,28.57026                        ,0.05714              ,SES     ,2021-04-12
24       ,2020-06-09 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,2      ,3        ,38         ,1.63259                     ,31.01914                        ,0.05263              ,SES     ,2021-04-12
24       ,2020-06-11 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,3      ,7        ,45         ,2.44888                     ,36.73319                        ,0.06667              ,SES     ,2021-04-12
24       ,2020-06-12 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,2        ,47         ,2.44888                     ,38.36578                        ,0.06383              ,SES     ,2021-04-12
24       ,2020-06-13 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,1        ,48         ,2.44888                     ,39.18207                        ,0.06250              ,SES     ,2021-04-12
25       ,2020-06-15 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,1        ,49         ,2.44888                     ,39.99837                        ,0.06122              ,SES     ,2021-04-12
25       ,2020-06-16 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,2        ,51         ,2.44888                     ,41.63095                        ,0.05882              ,SES     ,2021-04-12
25       ,2020-06-17 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,2        ,53         ,2.44888                     ,43.26354                        ,0.05660              ,SES     ,2021-04-12
25       ,2020-06-19 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,11       ,64         ,2.44888                     ,52.24277                        ,0.04688              ,SES     ,2021-04-12
26       ,2020-06-21 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,1        ,65         ,2.44888                     ,53.05906                        ,0.04615              ,SES     ,2021-04-12
26       ,2020-06-22 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,1        ,66         ,2.44888                     ,53.87535                        ,0.04545              ,SES     ,2021-04-12
26       ,2020-06-23 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,15       ,81         ,2.44888                     ,66.11975                        ,0.03704              ,SES     ,2021-04-12
26       ,2020-06-24 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,2        ,83         ,2.44888                     ,67.75234                        ,0.03614              ,SES     ,2021-04-12
26       ,2020-06-25 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,7        ,90         ,2.44888                     ,73.46639                        ,0.03333              ,SES     ,2021-04-12
26       ,2020-06-26 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,5        ,95         ,2.44888                     ,77.54786                        ,0.03158              ,SES     ,2021-04-12
26       ,2020-06-27 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,3        ,98         ,2.44888                     ,79.99673                        ,0.03061              ,SES     ,2021-04-12
27       ,2020-06-28 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,5        ,103        ,2.44888                     ,84.07820                        ,0.02913              ,SES     ,2021-04-12
27       ,2020-06-29 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,6        ,109        ,2.44888                     ,88.97596                        ,0.02752              ,SES     ,2021-04-12
27       ,2020-06-30 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,3        ,112        ,2.44888                     ,91.42484                        ,0.02679              ,SES     ,2021-04-12
27       ,2020-07-01 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,3      ,6        ,118        ,2.44888                     ,96.32260                        ,0.02542              ,SES     ,2021-04-12
27       ,2020-07-02 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,4      ,2        ,120        ,3.26517                     ,97.95519                        ,0.03333              ,SES     ,2021-04-12
27       ,2020-07-03 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,4      ,3        ,123        ,3.26517                     ,100.40407                       ,0.03252              ,SES     ,2021-04-12
27       ,2020-07-04 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,5      ,0        ,123        ,4.08147                     ,100.40407                       ,0.04065              ,SES     ,2021-04-12
28       ,2020-07-05 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,5      ,2        ,125        ,4.08147                     ,102.03665                       ,0.04000              ,SES     ,2021-04-12
28       ,2020-07-06 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,5      ,1        ,126        ,4.08147                     ,102.85294                       ,0.03968              ,SES     ,2021-04-12
28       ,2020-07-07 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,2         ,7      ,4        ,130        ,5.71405                     ,106.11812                       ,0.05385              ,SES     ,2021-04-12
28       ,2020-07-09 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,7      ,5        ,135        ,5.71405                     ,110.19958                       ,0.05185              ,SES     ,2021-04-12
28       ,2020-07-10 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,3         ,10     ,9        ,144        ,8.16293                     ,117.54622                       ,0.06944              ,SES     ,2021-04-12
28       ,2020-07-11 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,10     ,4        ,148        ,8.16293                     ,120.81140                       ,0.06757              ,SES     ,2021-04-12
29       ,2020-07-12 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,10     ,4        ,152        ,8.16293                     ,124.07657                       ,0.06579              ,SES     ,2021-04-12
29       ,2020-07-14 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,10     ,16       ,168        ,8.16293                     ,137.13726                       ,0.05952              ,SES     ,2021-04-12
29       ,2020-07-15 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,10     ,10       ,178        ,8.16293                     ,145.30019                       ,0.05618              ,SES     ,2021-04-12
29       ,2020-07-16 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,11     ,5        ,183        ,8.97923                     ,149.38166                       ,0.06011              ,SES     ,2021-04-12
29       ,2020-07-17 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,2         ,13     ,5        ,188        ,10.61181                    ,153.46312                       ,0.06915              ,SES     ,2021-04-12
29       ,2020-07-18 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,13     ,3        ,191        ,10.61181                    ,155.91200                       ,0.06806              ,SES     ,2021-04-12
30       ,2020-07-19 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,13     ,1        ,192        ,10.61181                    ,156.72830                       ,0.06771              ,SES     ,2021-04-12
30       ,2020-07-20 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,13     ,1        ,193        ,10.61181                    ,157.54459                       ,0.06736              ,SES     ,2021-04-12
30       ,2020-07-21 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,13     ,5        ,198        ,10.61181                    ,161.62606                       ,0.06566              ,SES     ,2021-04-12
30       ,2020-07-22 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,3         ,16     ,26       ,224        ,13.06069                    ,182.84968                       ,0.07143              ,SES     ,2021-04-12
30       ,2020-07-23 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,17     ,5        ,229        ,13.87698                    ,186.93115                       ,0.07424              ,SES     ,2021-04-12
30       ,2020-07-24 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,17     ,7        ,236        ,13.87698                    ,192.64520                       ,0.07203              ,SES     ,2021-04-12
30       ,2020-07-25 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,17     ,8        ,244        ,13.87698                    ,199.17554                       ,0.06967              ,SES     ,2021-04-12
31       ,2020-07-26 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,17     ,7        ,251        ,13.87698                    ,204.88960                       ,0.06773              ,SES     ,2021-04-12
31       ,2020-07-27 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,17     ,3        ,254        ,13.87698                    ,207.33848                       ,0.06693              ,SES     ,2021-04-12
31       ,2020-07-28 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,17     ,24       ,278        ,13.87698                    ,226.92951                       ,0.06115              ,SES     ,2021-04-12
31       ,2020-07-29 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,17     ,21       ,299        ,13.87698                    ,244.07167                       ,0.05686              ,SES     ,2021-04-12
31       ,2020-07-30 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,2         ,19     ,35       ,334        ,15.50957                    ,272.64193                       ,0.05689              ,SES     ,2021-04-12
31       ,2020-07-31 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,19     ,8        ,342        ,15.50957                    ,279.17228                       ,0.05556              ,SES     ,2021-04-12
31       ,2020-08-01 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,19     ,21       ,363        ,15.50957                    ,296.31444                       ,0.05234              ,SES     ,2021-04-12
32       ,2020-08-02 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,19     ,4        ,367        ,15.50957                    ,299.57961                       ,0.05177              ,SES     ,2021-04-12
32       ,2020-08-04 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,3         ,22     ,23       ,390        ,17.95845                    ,318.35435                       ,0.05641              ,SES     ,2021-04-12
32       ,2020-08-05 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,22     ,17       ,407        ,17.95845                    ,332.23134                       ,0.05405              ,SES     ,2021-04-12
32       ,2020-08-06 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,23     ,19       ,426        ,18.77474                    ,347.74091                       ,0.05399              ,SES     ,2021-04-12
32       ,2020-08-07 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,2         ,25     ,12       ,438        ,20.40733                    ,357.53643                       ,0.05708              ,SES     ,2021-04-12
32       ,2020-08-08 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,26     ,35       ,473        ,21.22362                    ,386.10669                       ,0.05497              ,SES     ,2021-04-12
33       ,2020-08-09 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,26     ,6        ,479        ,21.22362                    ,391.00445                       ,0.05428              ,SES     ,2021-04-12
33       ,2020-08-10 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,26     ,2        ,481        ,21.22362                    ,392.63704                       ,0.05405              ,SES     ,2021-04-12
33       ,2020-08-11 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,26     ,31       ,512        ,21.22362                    ,417.94212                       ,0.05078              ,SES     ,2021-04-12
33       ,2020-08-12 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,27     ,33       ,545        ,22.03992                    ,444.87980                       ,0.04954              ,SES     ,2021-04-12
33       ,2020-08-13 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,27     ,25       ,570        ,22.03992                    ,465.28713                       ,0.04737              ,SES     ,2021-04-12
33       ,2020-08-14 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,27     ,13       ,583        ,22.03992                    ,475.89894                       ,0.04631              ,SES     ,2021-04-12
33       ,2020-08-15 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,28     ,27       ,610        ,22.85621                    ,497.93886                       ,0.04590              ,SES     ,2021-04-12
34       ,2020-08-16 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,28     ,18       ,628        ,22.85621                    ,512.63214                       ,0.04459              ,SES     ,2021-04-12
34       ,2020-08-17 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,28     ,10       ,638        ,22.85621                    ,520.79507                       ,0.04389              ,SES     ,2021-04-12
34       ,2020-08-18 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,2         ,30     ,15       ,653        ,24.48880                    ,533.03947                       ,0.04594              ,SES     ,2021-04-12
34       ,2020-08-19 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,3         ,33     ,20       ,673        ,26.93768                    ,549.36533                       ,0.04903              ,SES     ,2021-04-12
34       ,2020-08-20 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,3         ,36     ,30       ,703        ,29.38656                    ,573.85413                       ,0.05121              ,SES     ,2021-04-12
34       ,2020-08-21 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,37     ,24       ,727        ,30.20285                    ,593.44517                       ,0.05089              ,SES     ,2021-04-12
34       ,2020-08-22 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,38     ,49       ,776        ,31.01914                    ,633.44353                       ,0.04897              ,SES     ,2021-04-12
35       ,2020-08-23 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,38     ,2        ,778        ,31.01914                    ,635.07612                       ,0.04884              ,SES     ,2021-04-12
35       ,2020-08-24 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,38     ,25       ,803        ,31.01914                    ,655.48345                       ,0.04732              ,SES     ,2021-04-12
35       ,2020-08-25 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,3         ,41     ,45       ,848        ,33.46802                    ,692.21664                       ,0.04835              ,SES     ,2021-04-12
35       ,2020-08-26 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,41     ,43       ,891        ,33.46802                    ,727.31725                       ,0.04602              ,SES     ,2021-04-12
35       ,2020-08-27 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,42     ,14       ,905        ,34.28431                    ,738.74536                       ,0.04641              ,SES     ,2021-04-12
35       ,2020-08-28 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,42     ,44       ,949        ,34.28431                    ,774.66226                       ,0.04426              ,SES     ,2021-04-12
36       ,2020-08-30 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,42     ,26       ,975        ,34.28431                    ,795.88588                       ,0.04308              ,SES     ,2021-04-12
36       ,2020-08-31 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,0         ,42     ,3        ,978        ,34.28431                    ,798.33476                       ,0.04294              ,SES     ,2021-04-12
36       ,2020-09-01 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,2         ,44     ,37       ,1015       ,35.91690                    ,828.53761                       ,0.04335              ,SES     ,2021-04-12
36       ,2020-09-02 ,Brazil  ,SP    ,Guaratinguetá/SP ,3518404 ,1         ,45     ,36       ,1051       ,36.73319                    ,857.92417                       ,0.04282              ,SES     ,2021-04-12
